frame,timestamp_world,timestamp_video,person,angry,disgusted,fearful,happy,neutral,sad,surprised,tag
0,1649457957620,10.617437,0,0.0006155691226013005,0.0012960222084075212,0.49624064564704895,0.14438514411449432,0.3564148545265198,0.0007017713505774736,0.0003461058659013361,0
0,1649457957620,10.617437,1,0.000016474625226692297,6.303960131681663e-10,3.075587094031329e-12,0.000005906744263484143,0.9991863965988159,0.000027623114874586463,0.0007636079099029303,0
1,1649457957831,10.821984,0,0.0000454985311080236,1.424184770115744e-9,1.7656657386178054e-11,0.0000075513326009968296,0.9997192621231079,0.0000048329875426134095,0.0002227404183940962,0
1,1649457957831,10.821984,1,0.002780929207801819,0.011931060813367367,0.060583192855119705,0.25582367181777954,0.6672382950782776,0.0006498951697722077,0.0009928994113579392,0
2,1649457958063,11.056547,0,0.002580081345513463,0.001642104354687035,0.00784436147660017,0.09119005501270294,0.8932702541351318,0.0015547192888334394,0.001918498775921762,0
2,1649457958063,11.056547,1,9.407995094079524e-8,3.690261637934178e-11,1.5150106646641404e-12,0.000006287012638495071,0.9999914765357971,9.124234452428936e-7,9.403406124874891e-7,0
3,1649457958300,11.296161,0,0.000022546766558662057,7.208750218978821e-8,1.1313206448038127e-11,0.003549749031662941,0.9964262843132019,0.0000014744114196219016,8.754729918791782e-8,0
3,1649457958300,11.296161,1,0.0009372642380185425,0.005221744067966938,0.19259178638458252,0.4512420892715454,0.3411780893802643,0.0077318670228123665,0.0010970549192279577,0
4,1649457958618,11.608639,0,0.00007709088094998151,2.9896207731638924e-10,5.821035927583429e-12,0.0000014429208476940403,0.9999204277992249,2.0094280728244485e-7,8.692703090673604e-7,0
4,1649457958618,11.608639,1,0.00017395509348716587,0.0004650111950468272,0.9130622148513794,0.0232622642070055,0.061524078249931335,0.0010848143137991428,0.0004277301486581564,0
5,1649457958625,11.608639,0,0.00007709088094998151,2.9896207731638924e-10,5.821035927583429e-12,0.0000014429208476940403,0.9999204277992249,2.0094280728244485e-7,8.692703090673604e-7,0
5,1649457958625,11.608639,1,0.00017395509348716587,0.0004650111950468272,0.9130622148513794,0.0232622642070055,0.061524078249931335,0.0010848143137991428,0.0004277301486581564,0
6,1649457958896,11.896184,0,0.053474850952625275,0.007721634116023779,0.03800181671977043,0.6948437690734863,0.09125234931707382,0.10996662825345993,0.004738947376608849,0
6,1649457958896,11.896184,1,0.000010842501978913788,1.5307549672272103e-10,6.770431925599146e-14,0.0000012606401469383854,0.9999876022338867,2.264619158864889e-9,1.854337661200134e-8,0
7,1649457959106,12.10018,0,0.0001430579723091796,3.816811866563796e-10,4.488193237200955e-12,1.4319688546038378e-7,0.9998560547828674,1.454693006053276e-7,4.448446873084322e-7,0
7,1649457959106,12.10018,1,0.0000043665559132932685,0.0005344485398381948,2.6645312800610554e-7,0.9985777139663696,0.0008369010756723583,0.000001376629256810702,0.00004509928839979693,0
8,1649457959137,12.128549,0,0.00047886912943795323,6.831372445503803e-8,9.885211538218641e-10,0.000011044266102544498,0.9995090365409851,6.40841903987166e-8,0.0000010395644949312555,0
8,1649457959137,12.128549,1,0.025046324357390404,0.0008915425860323012,0.011150157079100609,0.004135596565902233,0.13141383230686188,0.8272165060043335,0.00014604951138608158,0
9,1649457959367,12.361528,0,0.0005111073842272162,4.19847339117041e-8,3.0603039546939215e-10,0.0000027735568437492475,0.9994827508926392,6.449667466768005e-8,0.0000030463079383480363,0
9,1649457959367,12.361528,1,0.00976266898214817,0.00006609023694181815,5.828534881402447e-7,0.00002715298796829302,0.9609341025352478,0.029052697122097015,0.00015673041343688965,0
10,1649457959699,12.698338,0,0.0000071799395300331526,5.00624537380645e-7,1.1227501567345755e-11,5.7229630101574e-7,0.9994792342185974,0.0005123959272168577,2.008864896652085e-7,0
10,1649457959699,12.698338,1,0.0000025594629278202774,2.567611227799471e-11,2.945169065224351e-12,3.692632901675097e-7,0.9999856948852539,0.0000016469922456963104,0.000009857477380137425,0
11,1649457959848,12.845629,0,0.0009577237069606781,0.0001018476250465028,2.245547303658668e-9,0.000651739479508251,0.9974842071533203,0.000804214330855757,3.870866009947349e-7,0
11,1649457959848,12.845629,1,0.0000018209161680715624,3.8439804117551546e-10,9.64929091490374e-13,4.750595508085098e-7,0.9999933838844299,0.000002397721118541085,0.0000021503717562154634,0
12,1649457960296,13.289772,0,0.00004977944627171382,0.0016971321310847998,0.0000029703076052101096,0.006945919245481491,0.9894670248031616,0.0008122744038701057,0.0010249504121020436,0
12,1649457960296,13.289772,1,0.00000938542143558152,2.73209423834464e-11,6.1835280819322325e-12,9.423205824532488e-7,0.9999852776527405,0.000001353574020868109,0.000003288588914074353,0
13,1649457960465,13.45578,0,0.001960870111361146,0.000036340188671601936,1.3725423286814475e-7,0.000011535006706253625,0.9964683651924133,0.0015125353820621967,0.000010317680789739825,0
13,1649457960465,13.45578,1,0.004243022296577692,0.0001914267777465284,2.9836817816430994e-7,0.0020360099151730537,0.9930808544158936,0.00032396442838944495,0.00012444646563380957,0
14,1649457960709,13.701079,0,0.00003981868940172717,0.000009375748049933463,3.9202976975794e-10,0.0000011404583801777335,0.997755229473114,0.002194633474573493,1.6492585075411625e-8,0
14,1649457960709,13.701079,1,0.0003337822272442281,0.000002254423407066497,5.5720024150218705e-9,0.0008541985298506916,0.998384416103363,0.00007846561493352056,0.0003469313960522413,0
15,1649457961150,14.148615,0,0.00022870478278491646,0.000002586783011793159,8.110148663753591e-10,0.0000011137816500195186,0.9966529607772827,0.003114210907369852,2.1536379790632054e-7,0
15,1649457961150,14.148615,1,0.00015824534057173878,0.00011034042108803988,2.166798518388191e-9,0.000005096055247122422,0.9931677579879761,0.0044340589083731174,0.0021244899835437536,0
16,1649457961154,14.148615,0,0.09163887053728104,0.11134961992502213,0.00006002287773299031,0.042439378798007965,0.014988744631409645,0.7392770648002625,0.0002460854593664408,0
16,1649457961154,14.148615,1,0.00022838027507532388,0.0000010050820264950744,2.6999675828420777e-9,0.0000010718704288592562,0.9933347105979919,0.006434629205614328,2.2966456469930563e-7,0
17,1649457961363,14.355149,0,0.0004363586485851556,0.030284980311989784,0.000014202678357833065,0.002283013192936778,0.0012257666094228625,0.9656652808189392,0.00009058984142029658,0
17,1649457961363,14.355149,1,0.0037378002889454365,0.000006095766366343014,5.874844788422706e-8,0.000005373825842980295,0.9844687581062317,0.011777890846133232,0.000004197601811029017,0
18,1649457961543,14.541028,0,0.00524152722209692,0.000011648103281913791,4.436013867348265e-8,0.000001281698928323749,0.9922260046005249,0.0025184564292430878,0.0000011954386991419597,0
19,1649457961737,14.730604,0,0.000879385566804558,0.0000014432508805839461,1.7161429610723644e-8,0.0000014261139540394652,0.9945733547210693,0.0045443130657076836,1.1954799106206337e-7,0
20,1649457961922,14.922444,0,0.0005168212810531259,7.341992045439838e-7,8.196847645081107e-9,0.0000010471649147802964,0.9959546327590942,0.0035267341881990433,4.5966388029228256e-8,0
21,1649457962159,15.150785,0,0.10271479189395905,0.7017952799797058,0.00008033616177272052,0.005411325488239527,0.004975846968591213,0.1847236603498459,0.0002988653432112187,0
21,1649457962159,15.150785,1,0.000989392981864512,0.000004281426299712621,8.708336274310113e-9,0.0000032758746328909183,0.9976314902305603,0.0013714572414755821,1.1614289263661703e-7,0
22,1649457962283,15.274333,0,0.00038695934927091,0.000004019461812276859,1.940452243331947e-9,0.0000036063338484382257,0.9987181425094604,0.0008871398749761283,5.994461815816976e-8,0
23,1649457962499,15.495133,0,0.13465328514575958,0.001026592100970447,0.00015609031834173948,0.07191888242959976,0.6690130233764648,0.10633128881454468,0.016900930553674698,0
23,1649457962499,15.495133,1,0.00019715266535058618,0.0000026283057650289265,2.1118021109600704e-8,0.000017957218005903997,0.99254310131073,0.007239073980599642,1.424355957624357e-7,0
24,1649457962505,15.495133,0,0.00022214048658497632,0.000002908612941610045,6.855665368732389e-9,0.000037935966247459874,0.994110643863678,0.005626256112009287,6.761823811984868e-8,0
25,1649457962679,15.670824,0,0.0002624839835334569,0.000014766625099582598,1.4842962414718386e-9,0.0000023046357000566786,0.948676347732544,0.051044054329395294,2.487265504669267e-8,0
26,1649457962887,15.882965,0,0.00016776415577623993,0.000002663949999259785,2.3247814784355114e-9,4.6377017781651375e-9,0.46810874342918396,0.5317205190658569,3.4001507742686954e-7,0
27,1649457963068,16.060979,0,0.20815187692642212,0.00026439764769747853,0.0001584426499903202,0.4916336238384247,0.08815459907054901,0.20741556584835052,0.0042213560082018375,0
28,1649457963218,16.21916,0,0.0000012369179103188799,0.025444479659199715,0.0000020090374164283276,0.890602171421051,0.01945028454065323,0.06449396163225174,0.00000588148850511061,0
29,1649457963422,16.417278,0,0.01316375657916069,0.0020442702807486057,0.0003574040892999619,0.8115723133087158,0.152714341878891,0.020002257078886032,0.00014574397937394679,0
30,1649457963645,16.644897,0,0.00009105103526962921,0.0006934487610124052,0.000020698860680568032,0.015362322330474854,0.9726763367652893,0.00996762327849865,0.0011884873965755105,0
31,1649457963940,16.935359,0,0.000620046746917069,0.09405310451984406,0.000010822208423633128,0.6578220725059509,0.2444016933441162,0.0030705744866281748,0.000021751702661276795,0
32,1649457964024,17.02358,0,0.0014049323508515954,0.07805247604846954,0.00020707823568955064,0.5081349611282349,0.3454688787460327,0.055703263729810715,0.011028404347598553,0
33,1649457964107,17.100165,0,0.00016797876742202789,0.012444629333913326,2.2340667271691927e-7,0.9292231202125549,0.038623686879873276,0.019537750631570816,0.0000026477982828509994,0
34,1649457964235,17.227513,0,0.0008768616826273501,0.7180896997451782,4.414915792949614e-7,0.2644176185131073,0.015293923206627369,0.001318230526521802,0.000003266485691710841,0
35,1649457964369,17.363625,0,0.0008142910082824528,0.9521598219871521,0.0000036787791941605974,0.03962182626128197,0.004877500701695681,0.00008523902215529233,0.0024377487134188414,0
36,1649457964525,17.516358,0,0.00006163619400467724,0.0032216368708759546,2.926707907136006e-7,0.991401731967926,0.0052980342879891396,0.000006299443157331552,0.000010537087291595526,0
37,1649457964532,17.532106
38,1649457964709,17.707273,0,0.00004273390368325636,0.006007685791701078,1.631372037458334e-9,0.9278742074966431,0.04993463680148125,0.01608341932296753,0.00005723370850319043,0
39,1649457965004,17.998874,0,0.00393366115167737,0.6176797151565552,0.000028463193302741274,0.27194106578826904,0.08750211447477341,0.017592106014490128,0.0013228640891611576,0
40,1649457965042,18.034773,0,0.009867777116596699,0.3972458243370056,0.00045483102439902723,0.05039893463253975,0.31224992871284485,0.21829883754253387,0.01148392353206873,0
41,1649457965213,18.211771,0,0.005478363949805498,0.05441644787788391,9.630043678043876e-7,0.0015040624421089888,0.09866267442703247,0.8397787809371948,0.00015874342352617532,0
42,1649457965386,18.382563,0,0.0039514536038041115,0.048713043332099915,0.0000013717657338929712,0.20523256063461304,0.08619874715805054,0.6549047827720642,0.0009979774476960301,0
