frame,timestamp_world,timestamp_video,person,angry,disgusted,fearful,happy,neutral,sad,surprised,tag
0,1650285320994,0.217002
1,1650285321023,0.244538
2,1650285321106,0.331002
3,1650285321211,0.4277
4,1650285321299,0.519675
5,1650285321406,0.627888
6,1650285321635,0.850032
7,1650285321677,0.89872
8,1650285321712,0.929952
9,1650285321800,1.023338
10,1650285321989,1.206264
11,1650285322055,1.277487
12,1650285322150,1.366092
13,1650285322206,1.42734
14,1650285322416,1.631616
15,1650285322481,1.700894
16,1650285322658,1.873793
17,1650285322725,1.945399
18,1650285322757,1.975752
19,1650285322963,2.185992
20,1650285323058,2.273543
21,1650285323168,2.386621
22,1650285323243,2.46465
23,1650285323284,2.504275
24,1650285323461,2.676458
25,1650285323507,2.729011
26,1650285323531,2.751931
27,1650285323613,2.836339
28,1650285323857,3.072041
29,1650285323860,3.072041
30,1650285324470,3.687256,0,0.005558499135077,0.00044971780152991414,0.0002971566282212734,0.04200845584273338,0.5021662712097168,0.43272101879119873,0.016798879951238632,0
30,1650285324470,3.687256,1,0.19154450297355652,0.002193528227508068,0.02574175037443638,0.020371563732624054,0.2883765399456024,0.46513521671295166,0.006636882200837135,0
31,1650285324480,3.687256,0,0.005558499135077,0.00044971780152991414,0.0002971566282212734,0.04200845584273338,0.5021662712097168,0.43272101879119873,0.016798879951238632,0
31,1650285324480,3.687256,1,0.19154450297355652,0.002193528227508068,0.02574175037443638,0.020371563732624054,0.2883765399456024,0.46513521671295166,0.006636882200837135,0
32,1650285324798,4.021619,0,0.029588809236884117,0.0010104398243129253,0.10718876868486404,0.03332831338047981,0.3717150092124939,0.4512881338596344,0.005880418699234724,0
32,1650285324798,4.021619,1,0.016645975410938263,0.002750869607552886,0.00048720662016421556,0.09041706472635269,0.6539198160171509,0.2259192317724228,0.009859913028776646,0
33,1650285324970,4.190446
34,1650285325017,4.233711,0,0.04010878503322601,0.00772625207901001,0.0012874159729108214,0.01992211304605007,0.34102174639701843,0.5698838233947754,0.0200498066842556,0
35,1650285325051,4.274109
36,1650285325055,4.274109
37,1650285325174,4.388661
38,1650285325207,4.429642
39,1650285325249,4.468545
40,1650285325311,4.535423
41,1650285325496,4.715763
42,1650285325529,4.747355
43,1650285325708,4.93202
44,1650285325718,4.942366
45,1650285325904,5.121888
46,1650285325934,5.1501
47,1650285326068,5.284738
48,1650285326095,5.318985
49,1650285326215,5.430094
50,1650285326421,5.640058
51,1650285326484,5.699653
52,1650285326812,6.030558
53,1650285326815,6.030558
54,1650285326832,6.05072
55,1650285326860,6.07503
56,1650285326951,6.169231
57,1650285327017,6.231151
58,1650285327219,6.437463
59,1650285327234,6.45138
60,1650285327517,6.732337
61,1650285327588,6.80831
62,1650285327651,6.865978
63,1650285327698,6.91962
64,1650285327726,6.945816
65,1650285327809,7.022755
66,1650285327995,7.213264
67,1650285328048,7.262531
68,1650285328198,7.41267
69,1650285328217,7.439965
70,1650285328298,7.51392
71,1650285328536,7.753976
72,1650285328602,7.815976
73,1650285328800,8.018732
74,1650285328849,8.064128
75,1650285328906,8.126236
76,1650285328948,8.164436
77,1650285329078,8.294884
78,1650285329100,8.315877
79,1650285329208,8.425219
80,1650285329310,8.529959
81,1650285329415,8.636109
82,1650285329530,8.754484
83,1650285329711,8.931267
84,1650285329738,8.955964
85,1650285329900,9.124559
86,1650285329928,9.150586
87,1650285330105,9.325003
88,1650285330144,9.359623
89,1650285330191,9.413759
90,1650285330311,9.534929
91,1650285330438,9.661297
92,1650285330492,9.711591
93,1650285330709,9.932311
94,1650285330752,9.972032
95,1650285330825,10.039019
96,1650285330902,10.119073
97,1650285331094,10.317162
98,1650285331272,10.491546
99,1650285331273,10.491546
100,1650285331296,10.513149
101,1650285331394,10.61446
102,1650285331512,10.734474
103,1650285331689,10.906683
104,1650285331712,10.929049
105,1650285331805,11.023379
106,1650285331954,11.172532
107,1650285332141,11.365276
108,1650285332147,11.365276
109,1650285332308,11.529907
110,1650285332316,11.536153
111,1650285332394,11.608193
112,1650285332506,11.720914
113,1650285332746,11.963481
114,1650285332878,12.095149
115,1650285332913,12.127987
116,1650285332927,12.150999
117,1650285333075,12.298607
118,1650285333106,12.325879
119,1650285333193,12.417584
120,1650285333400,12.617999
121,1650285333465,12.688708
122,1650285333981,13.205726,0,0.03189180791378021,0.019908064976334572,0.0000625624306849204,0.013737437315285206,0.8238124847412109,0.11012302339076996,0.00046458010911010206,0
123,1650285333987,13.205726,0,0.05783838778734207,0.3271826505661011,0.000010287959412380587,0.006964503321796656,0.5473206043243408,0.057292547076940536,0.003391091013327241,0
124,1650285334342,13.557712,0,0.000005732647878176067,0.0006456815754063427,1.9204131557551407e-13,0.9988715052604675,0.00047636358067393303,8.549562267035071e-7,5.5037446600181283e-8,0
125,1650285334511,13.735474,0,0.000630912312772125,0.000006051402124285232,3.8432531823673344e-7,0.0015811787452548742,0.000735123292542994,0.9970449209213257,0.0000014842509017398697,0
126,1650285334689,13.908451,0,0.0002750956919044256,0.000014609355275752023,0.000016603842595941387,0.002155436435714364,0.0008476012735627592,0.9966892004013062,0.0000014086272130953148,0
127,1650285334943,14.163648,0,0.009535851888358593,0.0004366301582194865,0.0013258624821901321,0.190405011177063,0.029888687655329704,0.765675961971283,0.0027319956570863724,0
128,1650285335162,14.386084
129,1650285335196,14.416763,0,0.004528093617409468,0.1574716717004776,0.00000949517561821267,0.20577631890773773,0.008428741246461868,0.6237632632255554,0.00002222992952738423,0
