frame,timestamp_world,timestamp_video,person,participantes,angry,disgusted,fearful,happy,neutral,sad,surprised,tag
0,1650793008508,0.117486,,executor,,,,,,,,
1,1650793008615,0.226143,,executor,,,,,,,,
2,1650793008790,0.398045,,executor,,,,,,,,
3,1650793008797,0.403385,,executor,,,,,,,,
4,1650793008889,0.498691,,executor,,,,,,,,
5,1650793009038,0.647104,,executor,,,,,,,,
6,1650793009125,0.737394,,executor,,,,,,,,
7,1650793009184,0.791973,,executor,,,,,,,,
8,1650793009282,0.891491,,executor,,,,,,,,
9,1650793009405,1.015723,,executor,,,,,,,,
10,1650793009543,1.15261,,executor,,,,,,,,
11,1650793009614,1.218136,,executor,,,,,,,,
12,1650793009857,1.464015,,executor,,,,,,,,
13,1650793009937,1.546966,,executor,,,,,,,,
14,1650793009983,1.589312,,executor,,,,,,,,
15,1650793010053,1.664529,,executor,,,,,,,,
16,1650793010181,1.793396,,executor,,,,,,,,
17,1650793010186,1.798041,,executor,,,,,,,,
18,1650793010445,2.056395,,executor,,,,,,,,
19,1650793010520,2.125136,,executor,,,,,,,,
20,1650793010595,2.204782,,executor,,,,,,,,
21,1650793010821,2.423308,0,executor,0.0000013609704865302774,2.2849915293221557e-9,7.987859476088488e-7,0.00004120404628338292,0.15309183299541473,2.828910661278883e-9,0.8468648195266724,0
22,1650793010969,2.581154,0,executor,8.699107070242462e-7,6.912301842021407e-10,3.5523646602086956e-7,0.000042834642954403535,0.13337993621826172,2.254581854543858e-9,0.8665761351585388,0
23,1650793011127,2.736698,0,executor,4.6708797185601725e-7,4.3795708726257487e-10,2.729136951984401e-7,0.00003011563421750907,0.30448850989341736,9.908160958360668e-10,0.6954805254936218,0
24,1650793011256,2.865306,0,executor,5.161869580661005e-7,4.768536121524392e-10,3.090476070610748e-7,0.00002842973844963126,0.2928924560546875,1.1027095903060058e-9,0.7070785164833069,0
25,1650793011404,3.012344,0,executor,5.117248065289459e-7,4.5146814064978e-10,2.7713613803825865e-7,0.00002722462704696227,0.30116280913352966,1.0788711035658594e-9,0.6988091468811035,0
26,1650793011541,3.149346,0,executor,4.994729518870145e-9,6.247532491343577e-10,1.0729325761182906e-10,0.0014543235301971436,0.9985401034355164,0.0000013703300965062226,0.000004063015694555361,0
27,1650793011768,3.377756,0,executor,2.458378745018308e-8,1.066855978559822e-10,1.3096902728992887e-10,0.0004078590718563646,0.9995795488357544,0.0000018690238903218415,0.000010625006325426511,0
28,1650793011982,3.585947,0,executor,2.458378745018308e-8,1.066855978559822e-10,1.3096902728992887e-10,0.0004078590718563646,0.9995795488357544,0.0000018690238903218415,0.000010625006325426511,0
29,1650793012134,3.736924,0,executor,9.609466999904726e-9,1.1275340036642767e-11,2.112860553182827e-9,0.0003267567080911249,0.9993517398834229,6.961614076317346e-7,0.0003206726105418056,0
30,1650793012138,3.736924,0,executor,9.609466999904726e-9,1.1275340036642767e-11,2.112860553182827e-9,0.0003267567080911249,0.9993517398834229,6.961614076317346e-7,0.0003206726105418056,0
31,1650793012332,3.940057,0,executor,8.706909082611958e-10,1.7117132364297127e-12,1.5385215323959756e-10,0.00015586780500598252,0.9997711777687073,4.5034792606202245e-7,0.00007247977919178084,0
