tipo_teste,situacao,questões,abstracao,h_abstracao,decomposicao,h_decomposicao,reconhecimento_de_padroes,h_reconhecimento_de_padroes,algoritmo,h_algoritmo
Pré Teste,Não Teve Ganho,11,11,abstracao,11,decomposicao,11,reconhecimento_de_padroes,11,algoritmo
Pós Teste,Não Teve Ganho,11,13,abstracao,13,decomposicao,13,reconhecimento_de_padroes,13,algoritmo
Pré Teste,Não Teve Ganho,12,9,abstracao,9,decomposicao,9,reconhecimento_de_padroes,9,algoritmo
Pós Teste,Não Teve Ganho,12,4,abstracao,4,decomposicao,4,reconhecimento_de_padroes,4,algoritmo
Pré Teste,Não Teve Ganho,13,11,abstracao,11,decomposicao,,,11,algoritmo
Pós Teste,Não Teve Ganho,13,7,abstracao,7,decomposicao,,,7,algoritmo
Pré Teste,Não Teve Ganho,14,10,abstracao,,,10,reconhecimento_de_padroes,10,algoritmo
Pós Teste,Não Teve Ganho,14,5,abstracao,,,5,reconhecimento_de_padroes,5,algoritmo
Pré Teste,Não Teve Ganho,15,7,abstracao,7,decomposicao,7,reconhecimento_de_padroes,7,algoritmo
Pós Teste,Não Teve Ganho,15,5,abstracao,5,decomposicao,5,reconhecimento_de_padroes,5,algoritmo
Pré Teste,Não Teve Ganho,16,,,,,,,8,algoritmo
Pós Teste,Não Teve Ganho,16,,,,,,,5,algoritmo
Pré Teste,Não Teve Ganho,17,,,,,6,reconhecimento_de_padroes,6,algoritmo
Pós Teste,Não Teve Ganho,17,,,,,4,reconhecimento_de_padroes,4,algoritmo
Pré Teste,Não Teve Ganho,18,,,,,10,reconhecimento_de_padroes,10,algoritmo
Pós Teste,Não Teve Ganho,18,,,,,4,reconhecimento_de_padroes,4,algoritmo
Pré Teste,Não Teve Ganho,19,,,,,,,13,algoritmo
Pós Teste,Não Teve Ganho,19,,,,,,,4,algoritmo
Pré Teste,Não Teve Ganho,20,,,,,14,reconhecimento_de_padroes,14,algoritmo
Pós Teste,Não Teve Ganho,20,,,,,8,reconhecimento_de_padroes,8,algoritmo
