frame,timestamp_world,timestamp_video,person,angry,disgusted,fearful,happy,neutral,sad,surprised,tag
0,1650575352559,0.869689,0,0.00014941005792934448,0.000013799948646919802,5.003136038794764e-8,0.12903131544589996,0.1931004375219345,0.6776906847953796,0.000014369564269145485,0
0,1650575352559,0.869689,1,8.493468044434849e-7,1.2226594736652885e-11,3.2796931836998056e-11,3.899444891430903e-7,0.9999923706054688,0.0000018968121366924606,0.000004417887794261333,0
1,1650575352591,0.869689,0,0.00045230111572891474,0.00000856399583426537,9.013582769057393e-8,0.22522537410259247,0.06872593611478806,0.7055845260620117,0.000003251259613534785,0
1,1650575352591,0.869689,1,9.716085003219632e-8,2.5533731379256963e-11,1.2095290047309248e-10,0.000005910923391638789,0.9999876022338867,2.193549022422303e-7,0.0000062816789068165235,0
2,1650575352764,1.068416,0,0.000038142861740197986,8.611614248366095e-7,1.8431556725317932e-7,0.9694221019744873,0.01895250752568245,0.011578606441617012,0.000007579528755741194,0
3,1650575353129,1.434989,0,0.000006158813448564615,5.999726226946223e-8,9.677920687067854e-10,0.9817007184028625,0.018275771290063858,1.8320530159599002e-7,0.000017346994354738854,0
3,1650575353129,1.434989,1,0.6993176341056824,0.00006553706771228462,3.8487452808100286e-11,0.020502423867583275,0.2777666747570038,0.0023463706020265818,0.0000016583802562308847,0
4,1650575353478,1.789352,0,7.659704692741798e-7,7.082485153908635e-10,3.75343978120668e-10,0.9979307651519775,0.0020382332149893045,8.123036687734952e-10,0.000030322504244395532,0
4,1650575353478,1.789352,1,0.9904526472091675,6.019844622784376e-10,8.360292724773899e-8,0.00008570021600462496,0.009384669363498688,0.00007686551543883979,2.7586951389935166e-8,0
5,1650575353481,1.789352,0,0.000004971453563484829,4.536843434266302e-8,7.603255625099337e-8,0.9902294874191284,0.009602752514183521,3.8581185890507186e-7,0.00016234818031080067,0
5,1650575353481,1.789352,1,0.9624947905540466,2.56532452615546e-13,3.733036449404814e-12,0.0000964855935308151,0.02427329495549202,0.013135446235537529,1.087141314470852e-11,0
6,1650575353751,2.060754,0,0.000010087987902807072,3.473892817851265e-8,8.836932607891868e-8,0.9845721125602722,0.015107207000255585,9.243513687806626e-8,0.00031040559406392276,0
6,1650575353751,2.060754,1,0.5740212202072144,1.0943485007075537e-9,1.6348764356188816e-11,2.2269688315645908e-7,0.001259641139768064,0.42471879720687866,1.4404165638026711e-9,0
7,1650575353757,2.060754,0,0.000006619049145228928,1.3411104760052694e-7,4.2213656570311286e-8,0.995149552822113,0.004723208490759134,2.880992724385578e-7,0.00012042830348946154,0
7,1650575353757,2.060754,1,0.4042714536190033,0.00003204062522854656,0.00006108864181442186,0.0013352498644962907,0.590827465057373,0.0031860005110502243,0.0002868615265469998,0
8,1650575353993,2.303352,0,0.000006370953087753151,1.0940156869310158e-7,4.049379143111764e-8,0.9861474633216858,0.013722144067287445,6.367122296069283e-7,0.0001232135691680014,0
8,1650575353993,2.303352,1,0.00010760724399005994,7.398126058433263e-7,3.962960448689046e-8,0.000029974720746395178,0.9996369481086731,0.00011439986701589078,0.00011018036457244307,0
9,1650575354348,2.651675,0,0.0000019637745936051942,1.8140993063298083e-7,2.367885656440194e-7,0.9599313139915466,0.039696358144283295,0.000007706816177233122,0.00036227601231075823,0
9,1650575354348,2.651675,1,0.006094310898333788,0.6092992424964905,0.000014596767869079486,0.0007007941603660583,0.3429299592971802,0.024434605613350868,0.01652638427913189,0
10,1650575354693,3.000709,0,0.00019759182760026306,3.284561387317808e-7,0.0000013509745713236043,0.6331910490989685,0.3629973530769348,0.0000010939086223515915,0.003611204447224736,0
10,1650575354693,3.000709,1,1.5913512640963745e-7,1.6550972814499687e-9,1.671448646156648e-9,0.000003188468099324382,0.999995231628418,2.438158617223962e-7,0.0000011391172165531316,0
11,1650575354877,3.178726,0,0.0000029267464469739934,0.000001035226432577474,1.4869340203560455e-9,0.9898877143859863,0.010095644742250443,0.000012060635526722763,4.357962950507499e-7,0
11,1650575354877,3.178726,1,1.515541185881375e-7,8.347249974560711e-11,5.071966735492595e-10,0.0000035894097436539596,0.9999904632568359,9.236892850594813e-8,0.000005922735454078065,0
12,1650575355155,3.456849,0,0.0000030031087590032257,5.14355178893311e-7,3.6755420929068805e-9,0.939312756061554,0.06060167774558067,0.00008095433440757915,0.0000011785612059611594,0
12,1650575355155,3.456849,1,0.000001020060381051735,3.045148855296276e-10,1.3329228831793216e-9,0.0000026195705231657485,0.9999885559082031,7.622892184144803e-8,0.000007878812539274804,0
13,1650575355158,3.456849,0,0.00012714308104477823,0.000014997052858234383,0.000002897631929954514,0.024961145594716072,0.9608244299888611,0.014051306061446667,0.00001806839463824872,0
13,1650575355158,3.456849,1,0.00002810050682455767,2.957033196082648e-8,3.1912134090816835e-7,0.00004383355189929716,0.9991325736045837,7.957282264214882e-7,0.0007944178651086986,0
14,1650575355526,3.82821,0,0.0000029974405606481014,6.854487111240815e-8,1.866814064444e-10,0.00298221199773252,0.9969262480735779,0.00008822899690130726,1.7469642443757039e-7,0
14,1650575355526,3.82821,1,0.00007535550685133785,6.73075874146889e-7,0.000005075118224340258,0.0002223698393208906,0.9945899844169617,0.00015373366477433592,0.004952734801918268,0
15,1650575355938,4.24156,0,0.004214626736938953,0.000608206435572356,8.03429145435075e-7,0.0002676496224012226,0.9674733877182007,0.02742861770093441,0.000006744913207512582,0
15,1650575355938,4.24156,1,0.00000862595970829716,3.576483109668516e-8,2.37338610986626e-7,0.000012617238098755479,0.999296247959137,0.0002910078037530184,0.00039137067506089807,0
16,1650575356053,4.357598,0,0.002311103977262974,0.00016063886869233102,1.8101367516010214e-8,0.0021208724938333035,0.9762935042381287,0.019111495465040207,0.0000024237119760073256,0
16,1650575356053,4.357598,1,0.0004583975241985172,0.000006522873718495248,0.0012449953937903047,0.00007365659985225648,0.9943146109580994,0.000515826337505132,0.00338598620146513,0
17,1650575356058,4.357598,0,0.00004596121289068833,9.785775318960077e-7,9.198919403985428e-10,0.00040500101749785244,0.9973033666610718,0.0022445390932261944,9.189655969521482e-8,0
17,1650575356058,4.357598,1,0.0028463753405958414,0.0000011230007430640399,0.002718455856665969,0.0000034633771974768024,0.9927664399147034,0.0003342896525282413,0.0013298466801643372,0
