frame,timestamp_world,timestamp_video,person,participantes,angry,disgusted,fearful,happy,neutral,sad,surprised,tag
0,1650765886409,0.167784,,executor,,,,,,,,
1,1650765886468,0.233985,,executor,,,,,,,,
2,1650765886563,0.320646,,executor,,,,,,,,
3,1650765886655,0.416525,,executor,,,,,,,,
4,1650765886847,0.603532,,executor,,,,,,,,
5,1650765886851,0.616236,,executor,,,,,,,,
6,1650765886971,0.737738,,executor,,,,,,,,
7,1650765887125,0.890453,,executor,,,,,,,,
8,1650765887128,0.892498,,executor,,,,,,,,
9,1650765887432,1.19305,,executor,,,,,,,,
10,1650765887538,1.301973,,executor,,,,,,,,
11,1650765887668,1.431857,,executor,,,,,,,,
12,1650765887678,1.441509,,executor,,,,,,,,
13,1650765887722,1.481319,,executor,,,,,,,,
14,1650765887854,1.612339,,executor,,,,,,,,
15,1650765887862,1.620573,,executor,,,,,,,,
16,1650765887943,1.705286,,executor,,,,,,,,
17,1650765888066,1.829131,,executor,,,,,,,,
18,1650765888286,2.043383,,executor,,,,,,,,
19,1650765888287,2.043383,,executor,,,,,,,,
20,1650765888435,2.199511,,executor,,,,,,,,
21,1650765888443,2.20844,,executor,,,,,,,,
22,1650765888677,2.433531,,executor,,,,,,,,
23,1650765888701,2.466567,,executor,,,,,,,,
24,1650765888750,2.512094,,executor,,,,,,,,
25,1650765888845,2.607852,,executor,,,,,,,,
26,1650765889117,2.881222,,executor,,,,,,,,
27,1650765889165,2.924443,,executor,,,,,,,,
28,1650765889200,2.966928,,executor,,,,,,,,
29,1650765889263,3.024537,,executor,,,,,,,,
30,1650765889372,3.13644,,executor,,,,,,,,
31,1650765889457,3.213557,,executor,,,,,,,,
32,1650765889613,3.377968,,executor,,,,,,,,
33,1650765889719,3.476944,,executor,,,,,,,,
34,1650765889930,3.691348,,executor,,,,,,,,
35,1650765890041,3.804398,,executor,,,,,,,,
36,1650765890042,3.804398,,executor,,,,,,,,
37,1650765890155,3.919069,,executor,,,,,,,,
38,1650765890159,3.923231,,executor,,,,,,,,
39,1650765890245,4.001485,,executor,,,,,,,,
40,1650765890356,4.11413,,executor,,,,,,,,
41,1650765890580,4.341491,,executor,,,,,,,,
42,1650765890697,4.460972,,executor,,,,,,,,
43,1650765890747,4.506235,,executor,,,,,,,,
44,1650765890763,4.520574,,executor,,,,,,,,
45,1650765890964,4.726306,,executor,,,,,,,,
46,1650765890974,4.736162,,executor,,,,,,,,
47,1650765891047,4.803629,,executor,,,,,,,,
48,1650765891174,4.940861,,executor,,,,,,,,
49,1650765891287,5.044443,,executor,,,,,,,,
50,1650765891433,5.198644,,executor,,,,,,,,
51,1650765891498,5.256929,,executor,,,,,,,,
52,1650765891642,5.402286,,executor,,,,,,,,
53,1650765891646,5.406531,,executor,,,,,,,,
54,1650765891743,5.506686,,executor,,,,,,,,
55,1650765891850,5.614729,,executor,,,,,,,,
56,1650765892067,5.825265,,executor,,,,,,,,
57,1650765892077,5.833568,,executor,,,,,,,,
58,1650765892251,6.015774,,executor,,,,,,,,
59,1650765892252,6.015774,,executor,,,,,,,,
60,1650765892340,6.097326,,executor,,,,,,,,
61,1650765892541,6.301778,,executor,,,,,,,,
62,1650765892623,6.389717,,executor,,,,,,,,
63,1650765892735,6.492315,,executor,,,,,,,,
64,1650765892760,6.525767,,executor,,,,,,,,
65,1650765892870,6.626649,,executor,,,,,,,,
