frame,timestamp_world,timestamp_video,person,participantes,angry,disgusted,fearful,happy,neutral,sad,surprised,tag
0,1650648657609,0.178819,,executor,,,,,,,,
1,1650648657743,0.313956,,executor,,,,,,,,
2,1650648657748,0.327847,,executor,,,,,,,,
3,1650648657956,0.532123,,executor,,,,,,,,
4,1650648657988,0.559789,,executor,,,,,,,,
5,1650648658046,0.623619,,executor,,,,,,,,
6,1650648658344,0.91925,,executor,,,,,,,,
7,1650648658530,1.099613,,executor,,,,,,,,
8,1650648658564,1.141853,,executor,,,,,,,,
9,1650648658567,1.141853,,executor,,,,,,,,
10,1650648658575,1.153229,,executor,,,,,,,,
11,1650648658645,1.216957,,executor,,,,,,,,
12,1650648658728,1.303251,,executor,,,,,,,,
13,1650648658820,1.389854,,executor,,,,,,,,
14,1650648658966,1.54389,,executor,,,,,,,,
15,1650648659199,1.779599,,executor,,,,,,,,
16,1650648659236,1.814864,,executor,,,,,,,,
17,1650648659243,1.819462,,executor,,,,,,,,
18,1650648659327,1.906755,,executor,,,,,,,,
19,1650648659431,2.003891,,executor,,,,,,,,
20,1650648659539,2.112811,,executor,,,,,,,,
21,1650648659764,2.341508,,executor,,,,,,,,
22,1650648659831,2.403772,,executor,,,,,,,,
23,1650648659921,2.496371,,executor,,,,,,,,
24,1650648660028,2.604805,,executor,,,,,,,,
25,1650648660046,2.622639,,executor,,,,,,,,
26,1650648660258,2.836044,,executor,,,,,,,,
27,1650648660274,2.852241,,executor,,,,,,,,
28,1650648660347,2.918968,,executor,,,,,,,,
29,1650648660437,3.013025,,executor,,,,,,,,
30,1650648660703,3.278382,,executor,,,,,,,,
31,1650648660753,3.323808,,executor,,,,,,,,
32,1650648660827,3.403702,,executor,,,,,,,,
33,1650648660923,3.502351,,executor,,,,,,,,
34,1650648660985,3.558816,,executor,,,,,,,,
35,1650648661145,3.716595,,executor,,,,,,,,
36,1650648661153,3.723997,,executor,,,,,,,,
37,1650648661314,3.892898,,executor,,,,,,,,
38,1650648661318,3.897066,,executor,,,,,,,,
39,1650648661444,4.022977,,executor,,,,,,,,
40,1650648661550,4.120937,,executor,,,,,,,,
41,1650648661721,4.298382,,executor,,,,,,,,
42,1650648661727,4.304632,,executor,,,,,,,,
43,1650648661830,4.400078,,executor,,,,,,,,
44,1650648661923,4.495503,,executor,,,,,,,,
45,1650648662214,4.783369,,executor,,,,,,,,
46,1650648662264,4.840552,,executor,,,,,,,,
47,1650648662281,4.855405,,executor,,,,,,,,
48,1650648662364,4.94312,,executor,,,,,,,,
49,1650648662551,5.126428,,executor,,,,,,,,
50,1650648662562,5.135372,,executor,,,,,,,,
51,1650648662805,5.381183,,executor,,,,,,,,
52,1650648662860,5.432007,,executor,,,,,,,,
53,1650648662971,5.542027,,executor,,,,,,,,
54,1650648663080,5.654185,,executor,,,,,,,,
55,1650648663119,5.690175,,executor,,,,,,,,
